"group_key","group_label","gender_filter","sample_size","item_count","correlation_method","heatmap_png","correlation_matrix_csv","p_value_matrix_csv"
"all_MF","All Students (M + F)","M+F",811,16,"Pearson","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/all_MF/correlation_heatmap_with_significance.png","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/all_MF/pearson_correlation_matrix.csv","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/all_MF/pearson_p_value_matrix.csv"
"male_M","Male Students (M)","M",408,16,"Pearson","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/male_M/correlation_heatmap_with_significance.png","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/male_M/pearson_correlation_matrix.csv","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/male_M/pearson_p_value_matrix.csv"
"female_F","Female Students (F)","F",403,16,"Pearson","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/female_F/correlation_heatmap_with_significance.png","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/female_F/pearson_correlation_matrix.csv","/Users/dongpinhu/Desktop/New Programming Resilience/20260819_New Dataset 2_Correlation Analysis/female_F/pearson_p_value_matrix.csv"
