"item_code","Cmt1","Cmt2","Cmt3","Cmt4","Cnf1","Cnf2","Cnf3","Cnf4","Cop1","Cop2","Cop3","Cop4","Cmp1","Cmp2","Cmp3","Cmp4"
"Cmt1",0,5.06184980614654e-95,1.61424525435349e-84,4.53461053793657e-55,1.9736685898722e-05,2.75154491798324e-12,0.000449100618936953,0.486389543846013,0.317797118381711,0.0919279576383571,0.524837213486455,0.444438534110659,0.00737607670377699,0.0782878585332832,0.0319782379196301,4.22696340773896e-16
"Cmt2",5.06184980614654e-95,0,4.35884053682458e-64,1.28983121171827e-39,0.0854940760505615,9.91312470033316e-06,0.0713584330876865,0.0811410139616547,0.137913591376944,0.497289976231113,0.497833235942991,0.0857363875453108,0.189359468073535,0.0386420245040125,0.0981789624028747,2.88108295261338e-14
"Cmt3",1.61424525435349e-84,4.35884053682458e-64,0,2.03123934432135e-50,2.08246073764037e-12,1.49806146912918e-18,9.4615132037482e-10,8.90237195370879e-08,0.0210978123819843,0.00164030053735783,0.0865844110807754,0.12557901345934,0.0145220726005746,0.0257090246616475,0.502277965995197,1.13912483769223e-14
"Cmt4",4.53461053793657e-55,1.28983121171827e-39,2.03123934432135e-50,0,8.68530901817386e-22,2.67137085228776e-24,8.26225150936153e-11,2.9155287891834e-08,0.134923087539286,0.0121042294353536,0.170845960125435,0.983733732455577,0.90176398698569,0.711636898014917,0.726359201988661,4.75816986229019e-06
"Cnf1",1.9736685898722e-05,0.0854940760505615,2.08246073764037e-12,8.68530901817386e-22,0,6.86455800092929e-71,5.29318205672208e-72,2.82899619675749e-50,0.0187605867887208,1.79684641844211e-06,0.716292176212292,0.0476244164284499,0.0202800101052258,0.0352634999376444,0.313269502191761,0.000200373722160157
"Cnf2",2.75154491798324e-12,9.91312470033316e-06,1.49806146912918e-18,2.67137085228776e-24,6.86455800092929e-71,0,5.41326605694677e-65,2.78532024287274e-46,3.26008731850941e-11,1.56215513964532e-12,0.00278938616018757,8.25888711198053e-05,0.00255104256650834,3.32254466817537e-06,0.000476895126445075,1.17890693002983e-07
"Cnf3",0.000449100618936953,0.0713584330876865,9.4615132037482e-10,8.26225150936153e-11,5.29318205672208e-72,5.41326605694677e-65,0,1.17018546647019e-34,9.79609307370781e-05,2.74002381064146e-05,0.120915342911678,0.0200896002814402,0.179447183988722,0.207365237898931,0.221921406824955,0.0134465924290673
"Cnf4",0.486389543846013,0.0811410139616547,8.90237195370879e-08,2.9155287891834e-08,2.82899619675749e-50,2.78532024287274e-46,1.17018546647019e-34,0,1.32049489266874e-20,6.0892789394566e-21,2.73270932468926e-11,4.09828428386243e-14,0.00024004449252402,8.2896979876331e-05,0.0431197780079889,0.00143557615009492
"Cop1",0.317797118381711,0.137913591376944,0.0210978123819843,0.134923087539286,0.0187605867887208,3.26008731850941e-11,9.79609307370781e-05,1.32049489266874e-20,0,9.20263614529156e-75,9.3000371192299e-59,1.76123674957877e-45,0.124392550628424,3.97136182464651e-11,0.00101850105639454,0.613513393337735
"Cop2",0.0919279576383571,0.497289976231113,0.00164030053735783,0.0121042294353536,1.79684641844211e-06,1.56215513964532e-12,2.74002381064146e-05,6.0892789394566e-21,9.20263614529156e-75,0,1.63147398776689e-61,2.18240455768222e-51,1.38992514826018e-08,3.55085217423792e-16,4.12950019247184e-09,0.00586608952423121
"Cop3",0.524837213486455,0.497833235942991,0.0865844110807754,0.170845960125435,0.716292176212292,0.00278938616018757,0.120915342911678,2.73270932468926e-11,9.3000371192299e-59,1.63147398776689e-61,0,1.13393648541937e-40,7.90680168899319e-05,3.51124632642956e-09,3.83274323323214e-05,0.711956845464413
"Cop4",0.444438534110659,0.0857363875453108,0.12557901345934,0.983733732455577,0.0476244164284499,8.25888711198053e-05,0.0200896002814402,4.09828428386243e-14,1.76123674957877e-45,2.18240455768222e-51,1.13393648541937e-40,0,1.14748022642852e-25,1.9626381184091e-39,2.36951946528574e-19,2.29956753874786e-08
"Cmp1",0.00737607670377699,0.189359468073535,0.0145220726005746,0.90176398698569,0.0202800101052258,0.00255104256650834,0.179447183988722,0.00024004449252402,0.124392550628424,1.38992514826018e-08,7.90680168899319e-05,1.14748022642852e-25,0,1.65083060338869e-80,3.12716196132741e-60,9.58258708600772e-47
"Cmp2",0.0782878585332832,0.0386420245040125,0.0257090246616475,0.711636898014917,0.0352634999376444,3.32254466817537e-06,0.207365237898931,8.2896979876331e-05,3.97136182464651e-11,3.55085217423792e-16,3.51124632642956e-09,1.9626381184091e-39,1.65083060338869e-80,0,3.28074350332488e-59,1.09323019988969e-36
"Cmp3",0.0319782379196301,0.0981789624028747,0.502277965995197,0.726359201988661,0.313269502191761,0.000476895126445075,0.221921406824955,0.0431197780079889,0.00101850105639454,4.12950019247184e-09,3.83274323323214e-05,2.36951946528574e-19,3.12716196132741e-60,3.28074350332488e-59,0,3.21773555306222e-32
"Cmp4",4.22696340773896e-16,2.88108295261338e-14,1.13912483769223e-14,4.75816986229019e-06,0.000200373722160157,1.17890693002983e-07,0.0134465924290673,0.00143557615009492,0.613513393337735,0.00586608952423121,0.711956845464413,2.29956753874786e-08,9.58258708600772e-47,1.09323019988969e-36,3.21773555306222e-32,0
