"group_id","group_label_en","group_label_zh","gender_filter","n_complete","n_items","estimator","cor_method","ebic_gamma","figure_engine","observed_edges","possible_edges","network_density","mean_abs_edge_weight","strongest_edge","strongest_edge_weight","mean_predictability_r_squared","cs_strength","cs_strength_interpretation","cs_bridge_strength","cs_bridge_strength_interpretation","cs_bridge_closeness","cs_bridge_closeness_interpretation","cs_bridge_betweenness","cs_bridge_betweenness_interpretation","cs_correlation_threshold","cs_acceptable_threshold","cs_desirable_threshold","cs_bootstrap_replicates","cs_bootstrap_cores"
"all_students_MF","All students (M + F)","全體學生（M + F）","M+F",811,16,"bootnet::estimateNetwork(default = 'EBICglasso')","nonparanormal transformation (corMethod = 'npn')",0.5,"qgraph::qgraph",46,120,0.3833333333333334,0.140865626536739,"Cmt1-Cmt2",0.3785152930823106,0.4335038859436026,0.6720098643649814,"desirable",0.749691738594328,"desirable",0.2059186189889026,"omit_or_do_not_interpret",0,"omit_or_do_not_interpret",0.7,0.25,0.5,1000,1
"male_students_M","Male students (M)","男性學生（M）","M",408,16,"bootnet::estimateNetwork(default = 'EBICglasso')","nonparanormal transformation (corMethod = 'npn')",0.5,"qgraph::qgraph",48,120,0.4,0.1329642162786399,"Cmt1-Cmt2",0.3698948601773358,0.4194558463907018,0.517156862745098,"desirable",0.517156862745098,"desirable",0.2058823529411765,"omit_or_do_not_interpret",0.1274509803921569,"omit_or_do_not_interpret",0.7,0.25,0.5,1000,1
"female_students_F","Female students (F)","女性學生（F）","F",403,16,"bootnet::estimateNetwork(default = 'EBICglasso')","nonparanormal transformation (corMethod = 'npn')",0.5,"qgraph::qgraph",41,120,0.3416666666666667,0.1560900250124639,"Cmt1-Cmt2",0.3678077746513785,0.461724369394176,0.5161290322580645,"desirable",0.6724565756823822,"desirable",0.205955334987593,"omit_or_do_not_interpret",0.205955334987593,"omit_or_do_not_interpret",0.7,0.25,0.5,1000,1
