"item_code","Cmt1","Cmt2","Cmt3","Cmt4","Cnf1","Cnf2","Cnf3","Cnf4","Cop1","Cop2","Cop3","Cop4","Cmp1","Cmp2","Cmp3","Cmp4"
"Cmt1",0,7.78582911703943e-54,4.59891187421318e-54,1.22126162079869e-29,0.0898656485849449,0.000391806122366576,0.162393253176649,0.466014530080344,0.894886160351084,0.289706627120263,0.189614147642015,0.353451439164558,0.0186518377129954,0.463356579925331,0.218395974725473,2.04923464953796e-07
"Cmt2",7.78582911703943e-54,0,3.95111636684797e-40,1.10036722854183e-24,0.885124537791278,0.125802388024055,0.413517043692491,0.791113167847499,0.309417245608648,0.538758884034634,0.213044214848953,0.0356975349135535,0.507274481839188,0.540682446525602,0.189137180158667,7.22856129915728e-07
"Cmt3",4.59891187421318e-54,3.95111636684797e-40,0,3.55049186771432e-30,6.88529072180029e-07,5.64942913144674e-10,3.63267645087503e-05,0.000417786222928291,0.203108166009466,0.00405693831234269,0.16388093751208,0.07839497114986,0.0513544643303424,0.299167578495326,0.350154439972766,2.79282145130377e-10
"Cmt4",1.22126162079869e-29,1.10036722854183e-24,3.55049186771432e-30,0,1.31161462208234e-10,2.10307860777193e-14,5.51775187560813e-06,0.0016461300001953,0.935770350452935,0.13782307275158,0.806460027155305,0.797531208213671,0.818912551497312,0.73169292886031,0.929031627168018,2.08700346360845e-05
"Cnf1",0.0898656485849449,0.885124537791278,6.88529072180029e-07,1.31161462208234e-10,0,2.89602156873773e-40,8.35405385916109e-42,1.99910296725376e-29,0.194882189744297,2.23906890175823e-05,0.731467229101195,0.0841855519008838,0.14338324460101,0.119390183648651,0.818776266575105,0.000832708211167517
"Cnf2",0.000391806122366576,0.125802388024055,5.64942913144674e-10,2.10307860777193e-14,2.89602156873773e-40,0,7.00350695091604e-36,3.92964400961306e-21,3.79418756241561e-05,3.23611030927356e-10,0.0165023919479488,7.35481269675958e-05,0.0122913913764986,0.000278126419168754,0.00664068854998978,2.78085271342814e-05
"Cnf3",0.162393253176649,0.413517043692491,3.63267645087503e-05,5.51775187560813e-06,8.35405385916109e-42,7.00350695091604e-36,0,8.95336182879589e-19,0.0061227618528726,0.000445944459971206,0.351590493498309,0.0581545419371319,0.493301407529198,0.422574630632399,0.689489974553121,0.0165904081928899
"Cnf4",0.466014530080344,0.791113167847499,0.000417786222928291,0.0016461300001953,1.99910296725376e-29,3.92964400961306e-21,8.95336182879589e-19,0,3.74285125568197e-10,2.69003889701682e-12,3.48187162122695e-05,3.51560503847909e-08,0.0753295129991187,0.000962877992255451,0.507646577533519,0.00171684805824649
"Cop1",0.894886160351084,0.309417245608648,0.203108166009466,0.935770350452935,0.194882189744297,3.79418756241561e-05,0.0061227618528726,3.74285125568197e-10,0,1.40331903991288e-35,7.48612951407794e-30,1.21144249745512e-26,0.0496186590875611,6.73690960108091e-07,0.0384787673646892,0.801937809310915
"Cop2",0.289706627120263,0.538758884034634,0.00405693831234269,0.13782307275158,2.23906890175823e-05,3.23611030927356e-10,0.000445944459971206,2.69003889701682e-12,1.40331903991288e-35,0,1.75126885427803e-30,2.18559595963369e-25,2.69280657173586e-05,1.92805145897221e-08,3.03170554748185e-05,0.00121609955720996
"Cop3",0.189614147642015,0.213044214848953,0.16388093751208,0.806460027155305,0.731467229101195,0.0165023919479488,0.351590493498309,3.48187162122695e-05,7.48612951407794e-30,1.75126885427803e-30,0,4.0598344589266e-25,0.00554376075484097,1.16485495276247e-06,0.0003041893331157,0.257015806008244
"Cop4",0.353451439164558,0.0356975349135535,0.07839497114986,0.797531208213671,0.0841855519008838,7.35481269675958e-05,0.0581545419371319,3.51560503847909e-08,1.21144249745512e-26,2.18559595963369e-25,4.0598344589266e-25,0,1.28447561864256e-14,7.46767676487712e-22,2.29859333103793e-11,3.50700541163282e-07
"Cmp1",0.0186518377129954,0.507274481839188,0.0513544643303424,0.818912551497312,0.14338324460101,0.0122913913764986,0.493301407529198,0.0753295129991187,0.0496186590875611,2.69280657173586e-05,0.00554376075484097,1.28447561864256e-14,0,2.10649324915841e-40,6.33285642186496e-32,1.96368101957761e-28
"Cmp2",0.463356579925331,0.540682446525602,0.299167578495326,0.73169292886031,0.119390183648651,0.000278126419168754,0.422574630632399,0.000962877992255451,6.73690960108091e-07,1.92805145897221e-08,1.16485495276247e-06,7.46767676487712e-22,2.10649324915841e-40,0,6.44646183550956e-33,3.32474803982784e-25
"Cmp3",0.218395974725473,0.189137180158667,0.350154439972766,0.929031627168018,0.818776266575105,0.00664068854998978,0.689489974553121,0.507646577533519,0.0384787673646892,3.03170554748185e-05,0.0003041893331157,2.29859333103793e-11,6.33285642186496e-32,6.44646183550956e-33,0,2.13096086392052e-23
"Cmp4",2.04923464953796e-07,7.22856129915728e-07,2.79282145130377e-10,2.08700346360845e-05,0.000832708211167517,2.78085271342814e-05,0.0165904081928899,0.00171684805824649,0.801937809310915,0.00121609955720996,0.257015806008244,3.50700541163282e-07,1.96368101957761e-28,3.32474803982784e-25,2.13096086392052e-23,0
